-1.00,5000,3.037094e-05, 9.915483e-07
-1.00,6000,2.546393e-05, 6.734791e-07
-1.00,7000,2.247615e-05, 5.062804e-07
-1.00,8000,2.040343e-05, 4.034538e-07
-1.00,9000,1.887459e-05, 3.349465e-07
-1.00,10000,1.762955e-05, 2.852460e-07
-1.00,11000,1.662722e-05, 2.478315e-07
-1.00,12000,1.583337e-05, 2.189835e-07
-1.00,13000,1.507790e-05, 1.955473e-07
-1.00,14000,1.449051e-05, 1.767222e-07
-1.00,15000,1.393522e-05, 1.608641e-07
-1.00,16000,1.342795e-05, 1.473879e-07
-1.00,17000,1.295731e-05, 1.358166e-07
-1.00,18000,1.257975e-05, 1.259457e-07
-1.00,19000,1.219890e-05, 1.171319e-07
-1.00,20000,1.185501e-05, 1.094539e-07
-0.90,5000,1.492026e-04, 8.578523e-06
-0.90,6000,1.126517e-04, 5.041265e-06
-0.90,7000,8.750094e-05, 3.154821e-06
-0.90,8000,7.195347e-05, 2.190474e-06
-0.90,9000,6.178944e-05, 1.641211e-06
-0.90,10000,5.465610e-05, 1.295551e-06
-0.90,11000,4.935775e-05, 1.061264e-06
-0.90,12000,4.524339e-05, 8.933023e-07
-0.90,13000,4.195113e-05, 7.680716e-07
-0.90,14000,3.924621e-05, 6.715198e-07
-0.90,15000,3.697808e-05, 5.951241e-07
-0.90,16000,3.504183e-05, 5.333048e-07
-0.90,17000,3.336815e-05, 4.824367e-07
-0.90,18000,3.190356e-05, 4.399253e-07
-0.90,19000,3.061229e-05, 4.040108e-07
-0.90,20000,2.946278e-05, 3.732975e-07
-0.80,5000,1.385488e-04, 7.430087e-06
-0.80,6000,1.179543e-04, 5.442069e-06
-0.80,7000,1.027135e-04, 4.160163e-06
-0.80,8000,9.097357e-05, 3.284667e-06
-0.80,9000,8.164963e-05, 2.659874e-06
-0.80,10000,7.406395e-05, 2.198237e-06
-0.80,11000,6.777100e-05, 1.847406e-06
-0.80,12000,6.246571e-05, 1.574494e-06
-0.80,13000,5.793127e-05, 1.357947e-06
-0.80,14000,5.400715e-05, 1.183069e-06
-0.80,15000,5.057604e-05, 1.039743e-06
-0.80,16000,4.755034e-05, 9.208112e-07
-0.80,17000,4.486267e-05, 8.210591e-07
-0.80,18000,4.245995e-05, 7.365986e-07
-0.80,19000,4.029973e-05, 6.644781e-07
-0.80,20000,3.834754e-05, 6.024230e-07
-0.70,5000,1.210860e-04, 5.725557e-06
-0.70,6000,1.031159e-04, 4.191904e-06
-0.70,7000,8.980945e-05, 3.203228e-06
-0.70,8000,7.955518e-05, 2.528206e-06
-0.70,9000,7.140870e-05, 2.046635e-06
-0.70,10000,6.477942e-05, 1.690932e-06
-0.70,11000,5.927888e-05, 1.420688e-06
-0.70,12000,5.464098e-05, 1.210525e-06
-0.70,13000,5.067726e-05, 1.043842e-06
